Phone Model,Price
Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved,"Rs. 106,999"
Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Black 64 GB - PTA Approved,"Rs. 70,999"
Like New Phones - Used Apple iPhone 8 - Gold 64 GB - PTA Approved,"Rs. 57,999"
Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved,"Rs. 70,999"
Daraz Like New Phones - Used Apple iPhone 11 Pro 64 GB Midnight Green - PTA Approved,"Rs. 180,999"
Like New Phones - Used Apple iPhone X - Space Gray 256 GB - PTA Approved,"Rs. 106,999"
iPhone 15 256GB Apple Official 1 year Mercantile Warranty,"Rs. 436,499"
iPhone 15 Pro 128 GB Apple official 1 Year Mercantile Warranty - PTA APPROVED,"Rs. 502,499"
Like New Phones - Used Apple iPhone X - Silver 64 GB - PTA Approved,"Rs. 95,999"
Like New Phones - Used Apple iPhone X - Space Gray 64 GB - PTA Approved,"Rs. 95,999"
Like New Phones - Used Apple iPhone 8 Plus - Gold 64 GB - PTA Approved,"Rs. 73,999"
Like New Phones - Used Apple iPhone 8 Plus - Space Gray 64 GB - PTA Approved,"Rs. 73,999"
Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Red 64 GB - PTA Approved,"Rs. 68,999"
APPLE IPHONE 14 PRO MAX JV BOX PACK PIN PACK 1 YEAR BRAND WARRANTY,"Rs. 265,000"
iPhone 15 128 GB Apple official 1 Year Mercantile Warranty,"Rs. 393,999"
IPHONE 11 64GB JV BOX PACK 1 YEAR BRAND WARRANTY,"Rs. 99,990"
Daraz Like New Phones - Used Apple iPhone 14 128 GB Midnight Green - PTA Approved,"Rs. 299,999"
"Apple iPhone 15 Pro Max - 6.7"" Inch Display - Physical Sim & ESim - 1 Year Official Warranty (Mercantile) - PTA Approved","Rs. 594,999"
Daraz Like New Phones - Used Apple iPhone 11 Pro 64 GB Silver - PTA Approved,"Rs. 180,999"
"Apple iPhone 15 Pro - 6.1"" Inch Display - Physical Sim & ESim - PTA Approved - 1 Year Official Warranty Mercantile","Rs. 517,999"
APPLE IPHONE 13 128GB JV BOX PACK 1 YEAR WARRANTY,"Rs. 179,999"
APPLE IPHONE 14 PRO 128GB JV BOX PACKED 1 YEAR WARRANTY,"Rs. 245,000"
Apple iPhone 15 Pro Max 5G || PTA Approved One Year Official Brand Warranty,"Rs. 649,999"
Daraz Like New Phones - Used Apple iPhone 11 Pro 64 GB Space Gray - PTA Approved,"Rs. 180,999"
Apple Iphone 12 Pro Max Gold PTA Aproved with Wireless & wire Charger.,"Rs. 299,999"
APPLE IPHONE 15 PRO 128GB JV BOX PACK 1 YEAR WARRANTY,"Rs. 310,000"
APPLE IPHONE 15 128GB JV BOX PACKED 1 YEAR BRAND WARRANTY,"Rs. 230,000"
"Apple iPhone 14 Pro Maxx - 6.7"" Inch Display - Dual Physical Sim - PTA Approved - Honkong","Rs. 544,990"
iPhone 15 Pro 5G || PTA Approved One Year Official Warranty,"Rs. 549,999"
"Apple iPhone 14 Pro - 6.1"" Inch Display - Physical Sim and ESIM - PTA Approved - 1 Year Official Warranty","Rs. 506,990"
"Apple iPhone 14 - 6.1"" Inch Display - PhysicalSim and ESim - 1 Year Official Warranty - PTA Approved","Rs. 413,499"
Like New Phones - Used Apple iPhone 13 - 128 GB Blue - PTA Approved,"Rs. 299,999"
iPhone 15 Pro  128 GB Apple official 1 year Mercantile Warranty PTA APPROVED - Natural Titanium,"Rs. 511,499"
GOOGLE PIXEL 4a5g | 6gb ram | 128gb rom | official pta approved | 4000 mAh battery | camera better than iphone 11 | kit phone | can be updated to android 14 |,"Rs. 54,499"
GOOGLE PIXEL 6 PRO | 12 GB RAM | 128 GB ROM | curve OLED display | 5001 mAh battery | 50 MP camera better than iphone 13 pro max |,"Rs. 104,499"
Google pixel 6a| Official PTA APPROVED | 6gb ram | 128gb rom | 4410 mAh battery | camera better than iphone 12 | flagship phone,"Rs. 149,999"
iPhone 7plus - official pta approved - 128gb and 256gb variant - gem for gaming and portrait photography - slightly used imported kits,"Rs. 54,999"
iPhone 15 Pro Max 256 GB Apple official 1 year Mercantile Warranty - Blue,"Rs. 572,999"
"Apple iPhone 14 Pro - 6.1"" Inch Display - JV (Sim Lock)","Rs. 235,990"
"Apple iPhone 15 Pro Max - 6.7"" Inch Display - JV (Sim Lock)","Rs. 346,990"
